question,answer,generated_answer
<MedVQA>What type of medical procedure is shown in this image?,The abnormality is located in the center and lower-center of the image.,The abnormality is located in the center and lower-center of the image.
<MedVQA>What type of medical procedure is shown in this image?,The abnormality is located in the lower-right and lower-center part of the image.,The abnormality is located in the lower-right and lower-center of the image.
<MedVQA>What type of medical procedure is shown in this image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in this image?,A tube is present in the image.,A tube
<MedVQA>What type of medical procedure is shown in this image?,A polyp,There are no instruments visible in the image.
<MedVQA>What type of medical procedure is shown in this image?,A Paris IP type polyp,A Paris IP type polyp
<MedVQA>What type of medical procedure is shown in this image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What type of medical procedure is shown in this image?,The diagnosis is Ulcerative Colitis.,Ulcerative colitis
<MedVQA>What type of medical procedure is shown in this image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What type of medical procedure is shown in this image?,"The abnormality is located in multiple positions, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the color of the abnormality in the image?,"The color of the abnormality is pink, red, and white.","The abnormality in the image is pink, red, and white."
<MedVQA>What is the color of the abnormality in the image?,The object present in the image is a tube.,Biopsy forceps
<MedVQA>What is the color of the abnormality in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the color of the abnormality in the image?,"The abnormality is located in the upper-right, lower-right, center-right, lower-center, and center regions.","The abnormality is located in the center, lower-right, center-right and lower-center."
<MedVQA>What is the color of the abnormality in the image?,The z-line is visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the color of the abnormality in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>What is the color of the abnormality in the image?,There are no findings in the image.,There are no findings in the image.
<MedVQA>What is the color of the abnormality in the image?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What is the color of the abnormality in the image?,Endoscopy,A colonoscopy procedure
<MedVQA>What is the color of the abnormality in the image?,Paris IIA,Paris IIA
<MedVQA>What is the color of the abnormality in the image?,Paris type I and II polyps,There are no polyps present in the image.
<MedVQA>What is the color of the abnormality in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the color of the abnormality in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the color of the abnormality in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the color of the abnormality in the image?,"No, the image does not contain any text.","No, the image does not contain any text."
<MedVQA>What is the color of the abnormality in the image?,"The anatomical landmark is located in the center, as well as on the left and right sides, including center-left, center-right, upper-center, upper-left, and lower-center and lower-left.","The anatomical landmark is located in the center-left, center-right, upper-center, and lower-center of the image."
<MedVQA>What is the color of the abnormality in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the color of the abnormality in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the color of the abnormality in the image?,There is one finding.,There is 1 finding.
<MedVQA>What is the color of the abnormality in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>Where is the abnormality located in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in the upper-left, upper-right, lower-left and lower-right areas."
<MedVQA>Where is the abnormality located in the image?,Oesophagitis,Oesophagitis
<MedVQA>Where is the abnormality located in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Where is the abnormality located in the image?,A tube,The main feature visible in the image is a tube.
<MedVQA>Where is the abnormality located in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>Where is the abnormality located in the image?,Gastroscopy,A gastroscopy procedure
<MedVQA>Where is the abnormality located in the image?,There are no polyps.,There are no polyps.
<MedVQA>Where is the abnormality located in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>Where is the abnormality located in the image?,The size of the polyp is greater than 20mm.,The polyp is approximately 11-20mm in size.
<MedVQA>Where is the abnormality located in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>Where is the abnormality located in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Where is the abnormality located in the image?,The polyp is larger than 20mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>Where is the abnormality located in the image?,"The abnormality in the image is red, white, and pink.",The color of the abnormality is pink.
<MedVQA>Where is the abnormality located in the image?,"The typical color of the abnormality is pink, red and white.","The typical color of the abnormality is pink, red, and white."
<MedVQA>Where is the abnormality located in the image?,The polyp is of Paris IIa type.,A Paris IIa type polyp is present.
<MedVQA>Where is the abnormality located in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>Where is the abnormality located in the image?,"The instrument is located in the center, lower-right, and center-right regions of the image.","The instrument is located in the center, lower-right, and lower-center of the image."
<MedVQA>Where is the abnormality located in the image?,"The patient's digestive tract is normal, showing no signs of polyps.",The patient's digestive tract is polyp-free.
<MedVQA>Where is the abnormality located in the image?,"The abnormality is located in multiple areas including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>Where is the abnormality located in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What type of procedure is shown in this image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of procedure is shown in this image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What type of procedure is shown in this image?,A Paris type polyp.,A Paris type polyp is present.
<MedVQA>What type of procedure is shown in this image?,The abnormality has pink and red colors.,The abnormality is pink and red in color.
<MedVQA>What type of procedure is shown in this image?,There are no polyps.,There are no polyps.
<MedVQA>What type of procedure is shown in this image?,The instrument is located in the lower-right and lower-center region of the image.,The instrument is located in the lower-right and lower-center of the image.
<MedVQA>What type of procedure is shown in this image?,The size of the polyp is 5-10mm,The polyp is approximately 5-10mm in size.
<MedVQA>What type of procedure is shown in this image?,Yes,"Yes, the image contains text."
<MedVQA>What type of procedure is shown in this image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What type of procedure is shown in this image?,There are no findings.,No findings were detected.
<MedVQA>What type of procedure is shown in this image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of procedure is shown in this image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What type of procedure is shown in this image?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, lower-right, center-left and center-right."
<MedVQA>What type of procedure is shown in this image?,Colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of procedure is shown in this image?,The abnormality is located in the center-right part.,The abnormality is located in the upper-right and center-right areas.
<MedVQA>What type of procedure is shown in this image?,"Yes, the image does not contain any green/black box artefacts.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What type of procedure is shown in this image?,This image is from a colonoscopy procedure.,A colonoscopy procedure
<MedVQA>What type of procedure is shown in this image?,A Paris type IP polyp is present.,A Paris IP type polyp is present.
<MedVQA>What type of procedure is shown in this image?,A polyp,A polyp is present.
<MedVQA>What type of procedure is shown in this image?,"The abnormality appears with a pink, red, and white color scheme.","The abnormality appears pink, red, and white in color."
<MedVQA>What is the distribution of the instruments in the image?,"The instruments are located at the center, upper-left, center-left, and upper-center.","The instruments are located in the center, upper-left, and upper-center of the image."
<MedVQA>What is the distribution of the instruments in the image?,The polyps are absent.,There are no polyps.
<MedVQA>What is the distribution of the instruments in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the distribution of the instruments in the image?,There are 2 findings.,There are 2 findings.
<MedVQA>What is the distribution of the instruments in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the distribution of the instruments in the image?,An endoscopy procedure,A colonoscopy procedure
<MedVQA>What is the distribution of the instruments in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What is the distribution of the instruments in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the distribution of the instruments in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What is the distribution of the instruments in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the distribution of the instruments in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the distribution of the instruments in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is the distribution of the instruments in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the distribution of the instruments in the image?,The image contains the z-line.,The z-line is visible.
<MedVQA>What is the distribution of the instruments in the image?,"The abnormality is located at multiple positions, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower left, lower right, center-left and center-right."
<MedVQA>What is the distribution of the instruments in the image?,"The abnormality is pink, white and grey.","The abnormality is pink, red, and white in color."
<MedVQA>What is the distribution of the instruments in the image?,"The abnormality has yellow, green, and pink colors.","The abnormality has colors yellow, pink, and white."
<MedVQA>What is the distribution of the instruments in the image?,"The abnormality is located in multiple positions, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the distribution of the instruments in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the distribution of the instruments in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>What is the characteristic feature visible in the image?,The Z-line is visible.,The z-line is visible in the image.
<MedVQA>What is the characteristic feature visible in the image?,There are no findings.,The procedure shows no findings.
<MedVQA>What is the characteristic feature visible in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What is the characteristic feature visible in the image?,a colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the characteristic feature visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is the characteristic feature visible in the image?,1,There is 1 finding.
<MedVQA>What is the characteristic feature visible in the image?,A polyp,There are no instruments visible in the image.
<MedVQA>What is the characteristic feature visible in the image?,The z-line is visible.,There are no instruments visible in the image.
<MedVQA>What is the characteristic feature visible in the image?,There is 1 instrument.,There is 1 instrument.
<MedVQA>What is the characteristic feature visible in the image?,"The abnormality is located in the center, lower-right, center-right, and lower-center.","The abnormality is located in the center, lower-right, center-right and lower-center."
<MedVQA>What is the characteristic feature visible in the image?,1 instrument,One instrument is visible.
<MedVQA>What is the characteristic feature visible in the image?,"The abnormality is typically pink, red, and white in color.","The typical color appearance of the abnormality is pink, red, and white."
<MedVQA>What is the characteristic feature visible in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the characteristic feature visible in the image?,"The anatomical landmark is located in the center-left, upper-center, upper-left, and lower-center regions.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>What is the characteristic feature visible in the image?,The anatomical landmark is located in the center-right region.,"The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What is the characteristic feature visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the characteristic feature visible in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What is the characteristic feature visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is the characteristic feature visible in the image?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is the characteristic feature visible in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is visible in the image?,A polyp,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What is visible in the image?,"The anatomical landmarks visible in the image are located in the center, center-right, upper-center, upper-right, and lower-center.","The anatomical landmarks visible in the image are located in the center, center-right, upper-center, upper and lower-center."
<MedVQA>What is visible in the image?,The box-like structure is green/black in color.,The box-like structure is green/black in color.
<MedVQA>What is visible in the image?,The procedure revealed no polyps.,No findings were detected.
<MedVQA>What is visible in the image?,"The anatomical landmarks visible in the image are located in the center, upper-center, upper-right, and lower-center.","The anatomical landmarks visible in the image are located in the center, center-left, upper-center, and upper-right."
<MedVQA>What is visible in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is visible in the image?,"The abnormality in the image has a pink, red, and white color.","The abnormality has a pink, red, and white color."
<MedVQA>What is visible in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>What is visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What is visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is visible in the image?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is visible in the image?,The size of the polyp is between 11-20mm.,The polyp is approximately 5-10mm in size.
<MedVQA>What is visible in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>What is visible in the image?,Yes,"Yes, the image contains text."
<MedVQA>What is visible in the image?,"The anatomical landmarks visible in the image are located in the center, center-left, center-right, upper-center, upper-left, and lower-center.","The anatomical landmarks visible in the image are located in the center, center-left, upper-center, and lower-center."
<MedVQA>What is visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What is visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is visible in the image?,"The anatomical landmark is located at the center, center-left, center-right, upper-center, and lower-center.","The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What is visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>Is there any text visible in the image?,"No, the image does not contain any text.","No, the image does not contain any text."
<MedVQA>Is there any text visible in the image?,A polyp.,There are no instruments visible in the image.
<MedVQA>Is there any text visible in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>Is there any text visible in the image?,"The abnormality has colors of pink, yellow, and white.","The abnormality is pink, yellow, and white in color."
<MedVQA>Is there any text visible in the image?,The anatomical landmark is located in the center.,"The anatomical landmark is located in the center, center-right, upper-center, and lower-center."
<MedVQA>Is there any text visible in the image?,"The anatomical landmark is located in the center, center-left, upper-center, upper-left, lower-center, and lower-left regions.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>Is there any text visible in the image?,There is 1 instrument in the image.,There is 1 instrument.
<MedVQA>Is there any text visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>Is there any text visible in the image?,The z-line,The z-line is visible in the image.
<MedVQA>Is there any text visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Is there any text visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>Is there any text visible in the image?,The condition visible in the image is ulcerative colitis.,Ulcerative colitis
<MedVQA>Is there any text visible in the image?,Paris IIa,A Paris IIa type polyp is present.
<MedVQA>Is there any text visible in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>Is there any text visible in the image?,"The abnormality is located at multiple positions, including center, upper-left, upper-right, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-center, and lower-right."
<MedVQA>Is there any text visible in the image?,The size of the polyp is 11-20mm.,The polyp is approximately 11-20mm in size.
<MedVQA>Is there any text visible in the image?,The procedure reveals no findings.,No findings were detected.
<MedVQA>Is there any text visible in the image?,"The abnormality is located in the center, lower-right, center-right, and lower-center of the image.",The abnormality is located in the center and lower-center of the image.
<MedVQA>Is there any text visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Is there any text visible in the image?,The instrument visible in the image is a tube.,The instrument visible in the image is a tube.
<MedVQA>What is the diagnosis of the patient?,Oesophagitis,Oesophagitis
<MedVQA>What is the diagnosis of the patient?,"The abnormality is located in the upper-right, lower-right, and lower-center regions.",The abnormality is located in the upper-right and center-right areas.
<MedVQA>What is the diagnosis of the patient?,There is 1 finding.,There are 2 findings.
<MedVQA>What is the diagnosis of the patient?,"The abnormality appears to have a pink, red and white coloration.","The abnormality appears pink, red, and white in color."
<MedVQA>What is the diagnosis of the patient?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is the diagnosis of the patient?,"The color of the abnormality is pink, red, and white.","The abnormality in the image is pink, red, and white."
<MedVQA>What is the diagnosis of the patient?,There are no polyps.,There are no polyps.
<MedVQA>What is the diagnosis of the patient?,2 findings,There are 2 findings.
<MedVQA>What is the diagnosis of the patient?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the diagnosis of the patient?,There are 2 findings in the image.,There are 2 findings in the image.
<MedVQA>What is the diagnosis of the patient?,Oesophagitis,Oesophagitis
<MedVQA>What is the diagnosis of the patient?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What is the diagnosis of the patient?,There are 2 instruments,"The instruments used in this procedure are located at the center, lower-right, and lower-center."
<MedVQA>What is the diagnosis of the patient?,The color of the box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What is the diagnosis of the patient?,Paris IP and Paris IS type polyps,A Paris IP type polyp
<MedVQA>What is the diagnosis of the patient?,The colon in the image has no polyps.,The colon is normal with no polyps.
<MedVQA>What is the diagnosis of the patient?,There are no polyps.,There are no polyps.
<MedVQA>What is the diagnosis of the patient?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the diagnosis of the patient?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the diagnosis of the patient?,The abnormality in the image appears to be pink and red.,"The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the color of the abnormality?,The color of the abnormality is pink.,The color of the abnormality is pink.
<MedVQA>What is the color of the abnormality?,There is 1 polyp,There is 1 polyp.
<MedVQA>What is the color of the abnormality?,A Paris type polyp is present.,A Paris type polyp is present.
<MedVQA>What is the color of the abnormality?,Paris IIA type,A Paris IIa type polyp
<MedVQA>What is the color of the abnormality?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the color of the abnormality?,No,"No, the image does not contain a green/black box artefact."
<MedVQA>What is the color of the abnormality?,"The abnormality appears with a mixture of white, yellow, red, and pink colors.","The abnormality appears pink, yellow, and white in color."
<MedVQA>What is the color of the abnormality?,Yes,"Yes, the image contains text."
<MedVQA>What is the color of the abnormality?,< 5mm,The polyp is approximately 5-10mm in size.
<MedVQA>What is the color of the abnormality?,The polyp is approximately 11-20mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the color of the abnormality?,"The abnormality has pink, red, and white colors.","The abnormality has a pink, red, and white coloration."
<MedVQA>What is the color of the abnormality?,Oesophagitis,Oesophagitis
<MedVQA>What is the color of the abnormality?,Yes,"Yes, the image contains text."
<MedVQA>What is the color of the abnormality?,"The abnormality is characterized by the presence of red, pink, yellow, and brown colors.","The abnormality has red, pink, and yellow colors."
<MedVQA>What is the color of the abnormality?,The procedure did not reveal any abnormal findings.,The procedure shows no findings.
<MedVQA>What is the color of the abnormality?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What is the color of the abnormality?,"No, there is no green/black box artefact in the image.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the color of the abnormality?,The polyp is approximately 11-20mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>What is the color of the abnormality?,1 instrument,There is 1 instrument.
<MedVQA>What is the color of the abnormality?,There are no polyps in the image.,There are no polyps.
<MedVQA>What instruments are visible in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What instruments are visible in the image?,A Paris type polyp,A Paris type polyp
<MedVQA>What instruments are visible in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What instruments are visible in the image?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What instruments are visible in the image?,An abnormality with pink and white colors is visible.,There are no instruments visible in the image.
<MedVQA>What instruments are visible in the image?,There are no polyps.,There are no polyps.
<MedVQA>What instruments are visible in the image?,No instruments,There are no instruments visible in the image.
<MedVQA>What instruments are visible in the image?,No,"Yes, the image contains text."
<MedVQA>What instruments are visible in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-left and lower-right."
<MedVQA>What instruments are visible in the image?,The abnormality is located in the upper-left.,The abnormality is located in the upper-left and center-left.
<MedVQA>What instruments are visible in the image?,"The abnormality is located in the upper-right, center-right, and upper-center regions.","The abnormality is located in the upper-right, center-right and upper-center."
<MedVQA>What instruments are visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What instruments are visible in the image?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What instruments are visible in the image?,A tube,A tube
<MedVQA>What instruments are visible in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What instruments are visible in the image?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What instruments are visible in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What instruments are visible in the image?,Oesophagitis,Oesophagitis
<MedVQA>What instruments are visible in the image?,Colonoscopy,A colonoscopy procedure
<MedVQA>What instruments are visible in the image?,"The anatomical landmark is located in the center, center-left, upper-center, upper-left, lower-center, lower-left and lower-right.","The anatomical landmark is located in the center, center-left, upper-center, and lower-center of the image."
<MedVQA>What is the characteristic color of the abnormality?,"The abnormality is characterized by a combination of pink, red, and orange colors.","The abnormality has a pink, red, and white color."
<MedVQA>What is the characteristic color of the abnormality?,The image shows a procedure with no instruments.,A colonoscopy procedure
<MedVQA>What is the characteristic color of the abnormality?,Paris,A Paris type polyp is present.
<MedVQA>What is the characteristic color of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the characteristic color of the abnormality?,There are no instruments visible.,A polyp
<MedVQA>What is the characteristic color of the abnormality?,"No, there is no green/black box artefact in the image.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the characteristic color of the abnormality?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the characteristic color of the abnormality?,Ulcerative colitis,Ulcerative colitis
<MedVQA>What is the characteristic color of the abnormality?,The z-line is visible in the image.,There are no instruments visible in the image.
<MedVQA>What is the characteristic color of the abnormality?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>What is the characteristic color of the abnormality?,There is 1 finding,Colonoscopy
<MedVQA>What is the characteristic color of the abnormality?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the characteristic color of the abnormality?,The abnormality in the image appears to be red and pink in color.,The abnormality appears pink and red in color.
<MedVQA>What is the characteristic color of the abnormality?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>What is the characteristic color of the abnormality?,"The abnormality in the image is pink, red, and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What is the characteristic color of the abnormality?,Yes,"Yes, the image contains text."
<MedVQA>What is the characteristic color of the abnormality?,There are no polyps.,There are no polyps.
<MedVQA>What is the characteristic color of the abnormality?,There is 1 finding.,There is 1 finding.
<MedVQA>What is the characteristic color of the abnormality?,There are no polyps present.,There are no polyps.
<MedVQA>What is the characteristic color of the abnormality?,There are no instruments visible in the image.,There are no instruments visible.
<MedVQA>What type of medical procedure is shown in the image?,Biopsy,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,"The instruments are located in the center, upper-right and upper-center.","The instruments are located in the center, upper-right, and upper-center of the image."
<MedVQA>What type of medical procedure is shown in the image?,"The abnormality in the image has a pink, red, and white color.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What type of medical procedure is shown in the image?,Oesophagitis,Oesophagitis
<MedVQA>What type of medical procedure is shown in the image?,A Paris type IP polyp,A Paris IP type polyp
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,The color of the box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What type of medical procedure is shown in the image?,The abnormality is located in the center and lower-center of the image.,"The abnormality is located in the center, lower-right, center-right and lower-center."
<MedVQA>What type of medical procedure is shown in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,Oesophagitis,Oesophagitis
<MedVQA>What type of medical procedure is shown in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,There is 1 polyp.,There is 1 polyp.
<MedVQA>What type of medical procedure is shown in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,"The abnormality in the image is pink, red and white.","The abnormality in the image has a pink, red, and white color."
<MedVQA>What type of medical procedure is shown in the image?,A colonoscopy procedure.,A colonoscopy procedure
<MedVQA>What type of medical procedure is shown in the image?,"The anatomical landmark is located in the center, center-right, upper-center, upper-right, lower-center, and lower-right areas.","The anatomical landmark is located in the center, center-right, upper-center, and lower-center of the image."
<MedVQA>What type of medical procedure is shown in the image?,There is 1 finding.,There is 1 finding.
<MedVQA>What type of medical procedure is shown in the image?,There are 2 findings present in the image.,There is 1 finding.
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,The abnormality in the image has a pink and white color.,"The abnormality in the image has a pink, red, and white color."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,A polyp of type Paris IP is present.,A Paris type polyp is present.
<MedVQA>Does the endoscopy image contain a green/black box artefact?,Yes,"Yes, the image contains text."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,The cecum.,The cecum
<MedVQA>Does the endoscopy image contain a green/black box artefact?,A Paris IP type polyp is present.,A Paris IP type polyp is present.
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-right and center-left."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,Yes,"Yes, the image contains text."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"The color of the abnormality is pink, yellow and white.",The color of the abnormality is pink.
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center areas.","The abnormality is located in multiple areas, including the center, upper-right, lower-right and lower-center."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,This is an image without text.,This is an image without text.
