caption,Q,A
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps in the image.
Generate an image not containing a green/black box artefact.,What is the presence of artefact in this endoscopy image?,The image does not contain a green/black box artefact.
Generate an image not containing text.,Is there text in the image?,No
Generate an image with an abnormality with the colors pink and white.,What is the color of the abnormality in the image?,The color of the abnormality is pink and white.
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, lower-center, lower-left and lower-rigth.",What is the location of the anatomical landmark?,"The anatomical landmark is located at the center, center-left, center-right, upper-center, lower-center, lower-left, and lower-right."
Generate an image containing oesophagitis.,What is the condition depicted in the image?,Oesophagitis
Generate an image containing the z-line.,What feature is visible in the image?,The z-line
Generate an image with 2 findings.,How many findings are visible in the image?,There are 2 findings visible in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the condition of the colon in the image?,The colon in the image has no polyps.
Generate an image not containing a green/black box artefact.,Is the image affected by green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,Is the image containing text?,"No, the image does not contain text."
"Generate an image with an abnormality with the colors pink, white and grey.",What is the color of the abnormality in the image?,"The abnormality is pink, white and grey."
Generate an image from a gastroscopy procedure.,What type of medical procedure is being performed?,Gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What type of abnormality is present in the image?,"An abnormality located in multiple quadrants, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, upper-center, upper-left, lower-center, lower-left and lower-rigth.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in the center, center-left, upper-center, upper-left, lower-center, lower-left and lower-right."
Generate an image containing oesophagitis.,What is the diagnosis in the image?,Oesophagitis
Generate an image containing the z-line.,What is the feature visible in the image?,The z-line is visible in the image.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings.
Generate an image with no instruments.,What instruments are visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the status of the polyps in this image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What are the colors of the abnormality?,"The colors of the abnormality are pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of medical procedure is depicted in this image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center and upper-right.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, and upper-right parts of the image."
Generate an image containing ulcerative colitis.,What is the diagnosis in this image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings present in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the finding in the endoscopic image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is there a box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there any text visible in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the characteristic of the abnormality in the image?,The abnormality is pink and red in color.
Generate an image from a colonoscopy procedure.,What type of procedure is shown in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image containing the cecum.,What is the structure visible in the image?,The cecum is visible in the image.
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the endoscopy image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red, yellow and orange.",What is the color of the abnormality in the image?,"The color of the abnormality is pink, red, yellow, and orange."
Generate an image from a colonoscopy procedure.,What is the type of procedure depicted in the image?,Colonoscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image with an an anatomical landmark located in the center-left and lower-left.,What is the location of the anatomical landmark?,The anatomical landmark is located in the center-left and lower-left.
Generate an image containing tube.,What is the presence of in the image?,A tube is present.
Generate an image with no findings.,What is the outcome of the endoscopy procedure?,The outcome of the procedure is no findings.
Generate an image with 1 instrument.,What is visible in the image?,There is 1 instrument
Generate an image with no polyps.,What is the status of the polyps in the image?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the box-like artefact?,The color of the box-like artefact is green/black.
Generate an image containing text.,Is there text present in the image?,Yes
Generate an image from a colonoscopy procedure.,What is the type of procedure shown in the image?,A colonoscopy procedure
Generate an image with an an instrument located in the center and lower-center.,What is the location of the instrument in the image?,The instrument is located in the center and lower-center of the image.
Generate an image containing ulcerative colitis.,What is the condition shown in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What instruments are visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the image contain any artefacts?,"No, the image does not contain any green or black box artefacts."
Generate an image containing text.,Is there text in the image?,"Yes, there is text in the image."
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality?,"The color of the abnormality is pink, red and white."
Generate an image from a colonoscopy procedure.,What is the type of medical procedure depicted?,A colonoscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located in multiple locations, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing a polyp.,What is the type of structure visible in the image?,A polyp
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the characteristic of the artefact in the image?,The artefact is green/black in color.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors white and pink.,What is the appearance of the abnormality in the image?,The abnormality appears white and pink in color.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is approximately 11-20mm in size.
Generate a polyp of type paris is.,What type of polyp is present?,A Paris type polyp is present.
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted?,A colonoscopy procedure
Generate an image with an an abnormality located in the lower-center.,What is the location of the abnormality?,The abnormality is located in the lower-center.
Generate an image containing oesophagitis.,What is the condition depicted in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are present in the image?,Two
Generate an image with no instruments.,What is visible in the endoscopy image?,There are no instruments present.
Generate an image with no polyps.,What is the status of the colon in the given image?,The colon is polyp-free.
Generate an image not containing a green/black box artefact.,Does the image have a green/black box artefact?,No
Generate an image not containing text.,What is visible in the image?,There is no text in the image.
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality is pink, red and white in color."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-right, upper-center, upper-right and lower-center.",What anatomical landmark is present in the image?,"The anatomical landmark is located in the center, center-right, upper-center, upper-right, and lower-center."
Generate an image containing oesophagitis.,What is the condition shown in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,What is the number of findings in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments present.
Generate an image with no polyps.,What is the condition of the colon in the image?,"The colon is normal, showing no polyps."
Generate an image not containing a green/black box artefact.,Is the image free from artefacts?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What can be seen in the image?,"An abnormality with pink, red, and white colors."
Generate an image from a gastroscopy procedure.,What is the type of procedure shown in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center"
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, upper-left, upper-right, lower-center and lower-rigth.","What anatomical landmark is located in the center, center-left, center-right, upper-center, upper-left, upper-right, lower-center, and lower-right of the image?","The anatomical landmark is located in multiple positions, including the center, center-left, center-right, upper-center, upper-left, upper-right, lower-center, and lower-right."
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the presence of polyps in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, there is no green/black box artefact in the image."
Generate an image containing text.,Is there any text visible in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the color scheme of the abnormality?,"The abnormality has a pink, red and white color scheme."
Generate an image from a gastroscopy procedure.,What is the type of procedure depicted in the image?,Gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located at multiple positions including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, upper-left, upper-right, lower-center, lower-left and lower-rigth.",What is the location of the anatomical landmark?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, upper-left, upper-right, lower-center, lower-left, and lower-right positions."
Generate an image containing a polyp.,What is visible in this endoscopy image?,A polyp is visible.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the endoscopy procedure?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image free from green/black box artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The abnormality is pink.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is 11-20mm in size.
Generate a polyp of type paris ip.,What type of polyp is present in the image?,Paris IP type
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy
Generate an image with an an abnormality located in the center and upper-center.,What is the location of the abnormality?,The abnormality is located in the center and upper-center of the image.
Generate an image containing tube.,What is the object visible in the image?,A tube.
Generate an image with no findings.,What is the diagnosis of the patient?,The patient has no findings
Generate an image with 1 instrument.,What is the number of instruments present in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the condition of the colon in the image?,The colon is normal and does not show any polyps.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,No
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an instrument located in the center, upper-left, lower-left, center-left, upper-center and lower-center.",What is the location of the instrument in the image?,"The instrument is located in the upper-left, lower-left, center-left, upper-center, and lower-center areas."
Generate an image containing ulcerative colitis.,What is the condition shown in the image?,Ulcerative colitis
Generate an image containing the cecum.,What is the anatomical region shown in the image?,The cecum
Generate an image with 1 finding.,What is the number of findings present in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the status of the digestive tract in the image?,"The digestive tract is normal, with no polyps detected."
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the endoscopy image?,"No, there is no green/black box artefact in the image."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the characteristic color of the abnormality in the image?,The abnormality in the image appears pinkish-red.
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in multiple areas, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-right, upper-center and upper-right.",What are the locations of the anatomical landmark?,"The anatomical landmark is located in the center, center-right, upper-center, and upper-right."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image containing the ileum.,What part of the digestive system is visible in the image?,The ileum is visible in the image.
Generate an image with 1 finding.,What is the number of findings visible in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the endoscopy image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,One polyp
Generate an image containing a green/black box artefact.,What is the color of the artefact in the image?,The artefact is green/black.
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the appearance of the abnormality in the image?,The abnormality appears to have a pinkish-red color.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The polyp is approximately 5-10mm in size.
Generate a polyp of type paris iia.,What type of polyp is present?,Paris IIA
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an abnormality located in the center and lower-center.,What is the location of the abnormality?,The abnormality is located in the center and lower-center.
"Generate an image with an an anatomical landmark located in the center, center-left, upper-center and upper-left.",Where are the notable landmarks located in the image?,"The notable landmarks are located in the center, center-left, upper-center, and upper-left."
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis is visible in the image.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is the condition of the endoscopic view?,"The endoscopic view is empty, with no instruments visible."
Generate an image with no polyps.,What did the endoscopy procedure reveal?,The procedure revealed no polyps.
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,What is visible in the image?,The image does not contain any text.
"Generate an image with an abnormality with the colors pink, red and white.",What do you see in the image?,"A lesion with abnormal colors, specifically pink, red, and white."
Generate an image from a gastroscopy procedure.,What type of procedure is depicted?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What can be seen in the abnormality?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing oesophagitis.,What is the condition depicted in the image?,Oesophagitis
Generate an image containing the z-line.,What is shown in the image?,The z-line is shown in the image.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What is the instrument status in this procedure?,There are no instruments present
Generate an image with no polyps.,What is the presence of polyps in the image?,No polyps are present.
Generate an image containing a green/black box artefact.,What is the color of the box artefact?,The box artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What is the appearance of the abnormality in the endoscopy image?,"The abnormality appears with a pink, red, and white color combination."
Generate an image from a gastroscopy procedure.,What type of procedure is depicted in this image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the distribution of the abnormality in the image?,"The abnormality is located at the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-right, upper-center, upper-right, lower-center and lower-rigth.",What is the location of the anatomical landmark?,"The anatomical landmark is located in the center, center-right, upper-center, upper-right, lower-center, and lower-right areas."
Generate an image containing biopsy forceps.,What is shown in the image?,Biopsy forceps
Generate an image with no findings.,What does the endoscopy procedure image show?,There are no findings in the procedure image.
Generate an image with 1 instrument.,What is the number of instruments visible in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the condition of the inside of the body?,There are no polyps.
Generate an image containing a green/black box artefact.,What is the color of the artefact?,The artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
Generate an image from a colonoscopy procedure.,What type of procedure is being performed in this image?,A colonoscopy procedure
Generate an image with an an instrument located in the center and lower-center.,What is the location of the instrument in the image?,The instrument is located in the center and lower-center.
Generate an image containing oesophagitis.,What is the diagnosis in the image?,Oesophagitis
Generate an image containing the z-line.,What is the feature visible in the image?,The z-line is visible in the image.
Generate an image with 2 findings.,How many findings are present in the image?,There are 2 findings in the image.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is there any artefact present in the image?,"No, the image does not contain any artefact."
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality in the image?,"The abnormality is pink, red, and white in color."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in this image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",Where is the abnormality located in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, upper-center, upper-left and lower-center.",What is the location of the anatomical landmark in the image?,"The anatomical landmark is located in the center, center-left, center-right, upper-center, upper-left and lower-center."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What instruments are visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Is the image free from green/black box artefact?,"Yes, the image does not contain a green/black box artefact."
Generate an image not containing text.,Is there any text in the image?,"No, the image does not contain any text."
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The abnormality has a pink color.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is 11-20mm in size.
Generate a polyp of type paris is.,What type of polyp is present?,A Paris-type polyp
Generate an image from a colonoscopy procedure.,What type of procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, lower-left, center-left and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, lower-left, center-left, and lower-center."
Generate an image containing a polyp.,What is the focus of this image?,The focus of this image is a polyp.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What instruments are present in the image?,There are no instruments present in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,1
Generate an image containing a green/black box artefact.,What is the appearance of the box-like structure in the endoscopy image?,The box-like structure appears green/black.
Generate an image containing text.,Is there text in the image?,"Yes, the image contains text."
Generate an image with an abnormality with the colors pink and red.,What is the appearance of the abnormality in the image?,The abnormality appears with pink and red colors.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The size of the polyp is 11-20mm.
Generate a polyp of type paris is.,What type of polyp is present?,A Paris type polyp is present.
Generate an image from a colonoscopy procedure.,What is the type of procedure depicted in the image?,A colonoscopy
"Generate an image with an an abnormality located in the center, upper-right, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-right, lower-right, center-left, center-right, upper-center and lower-center."
Generate an image containing a polypandoesophagitis.,What is the condition depicted in the image?,Polypandoesophagitis
Generate an image containing the z-line.,What is the feature visible in the image?,The z-line is visible.
Generate an image with 3 findings.,How many findings are present in this image?,There are 3 findings in this image.
Generate an image with no instruments.,What is the condition of the instruments in the image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps in the image.
Generate an image not containing a green/black box artefact.,Does the image show a green/black box artefact?,"No, the image is free from green/black box artefact."
Generate an image containing text.,Is there any text present in the image?,"Yes, the image contains text."
"Generate an image with an abnormality with the colors pink, red and white.",What is the abnormality in the image?,"The abnormality in the image is characterized by a pink, red, and white coloration."
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp?,The size of the polyp is 5-10mm.
Generate polyps of type paris is and paris iia.,What type of polyps are present in the image?,Paris type I and Paris type II polyps
Generate an image from a gastroscopy procedure.,What type of procedure is depicted in the image?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center of the image."
"Generate an image with an an anatomical landmark located in the center, center-left, upper-center, upper-left and lower-center.",What is the location of the anatomical landmark?,"The anatomical landmark is located in the center, center-left, upper-center, upper-left, and lower-center."
Generate an image containing a polyp.,What is visible in the image?,A polyp
Generate an image containing the ileum.,What is the location of the procedure?,The procedure is in the ileum.
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are visible?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Does the image show a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,What is present in the image?,There is no text in the image.
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The abnormality is pink.
Generate an image with a polyp of size 5-10mm.,What is the size of the polyp in the image?,The size of the polyp is 5-10mm.
Generate a polyp of type paris is.,What type of polyp is visible?,A Paris type polyp
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown?,A colonoscopy procedure
Generate an image with an an abnormality located in the center and center-left.,What is the location of the abnormality?,The abnormality is located in the center and center-left.
Generate an image containing a polyp.,What can be seen in this endoscopy procedure?,A polyp is present.
Generate an image with 1 finding.,What is the total number of findings in the image?,There is 1 finding
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,What is the number of polyps in the image?,There is 1 polyp.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
Generate an image with an abnormality with the colors white and pink.,What does the image show?,An abnormality with white and pink colors.
Generate an image with a polyp of size < 5mm.,What is the size of the polyp?,The polyp is less than 5mm in size.
Generate a polyp of type paris iia.,What type of polyp is visible?,A Paris IIa polyp is visible.
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,Colonoscopy
Generate an image with an an abnormality located in the center and upper-center.,Where is the abnormality located in the endoscopy image?,The abnormality is located in the center and upper-center of the image.
Generate an image containing oesophagitis.,What is the condition visible in the image?,Oesophagitis
Generate an image containing the z-line.,What is visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are visible in the image?,There are 2 findings visible in the image.
Generate an image with no instruments.,What can be seen in this endoscopy image?,There are no instruments visible in the image.
Generate an image with no polyps.,What is the number of polyps seen in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Is there an image artefact?,"No, the image does not contain a green/black box artefact."
Generate an image not containing text.,Is there any text in the image?,"No, there is no text in the image."
"Generate an image with an abnormality with the colors pink, red and white.",What are the colors present in the abnormality?,"The abnormality is characterized by the presence of pink, red, and white colors."
Generate an image from a gastroscopy procedure.,What type of procedure is depicted in the image?,Gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the polyp in the image?,"The polyp is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, upper-center and upper-left.",What anatomical landmark is visible in the image?,"The anatomical landmark is located in the center, center-left, upper-center, and upper-left regions."
Generate an image containing a polyp.,What can be seen in the image?,A polyp is present.
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the endoscopy image?,There are no instruments visible.
Generate an image with 1 polyp.,How many polyps are present in the image?,There is 1 polyp.
Generate an image containing a green/black box artefact.,What is the artifact observed in the image?,A green/black box artefact
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors yellow, white and pink.",What is the color of the abnormality in the image?,"The color of the abnormality is yellow, white, and pink."
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The size of the polyp is 11-20mm.
Generate a polyp of type paris is.,What type of polyp is present in the image?,A Paris type polyp
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,a colonoscopy procedure
"Generate an image with an an abnormality located in the center, lower-right, center-right and lower-center.",Where are the abnormalities located in the image?,"The abnormalities are located in the center, lower-right, center-right, and lower-center regions."
Generate an image containing a polyp.,What is the object of interest in the endoscopy image?,A polyp
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What is visible in the image?,There are no instruments visible in the image.
Generate an image with 1 polyp.,How many polyps are present in the image?,1
Generate an image not containing a green/black box artefact.,Is there a green/black box artefact in the image?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,"Yes, there is text in the image."
Generate an image with an abnormality with the color pink.,What is the color of the abnormality?,The abnormality is pink.
Generate an image with a polyp of size 11-20mm.,What is the size of the polyp?,The polyp is approximately 11-20mm in size.
Generate a polyp of type paris ip.,What type of polyp is present?,A Paris IP type of polyp
Generate an image from a colonoscopy procedure.,What type of procedure is depicted in this image?,A colonoscopy procedure
Generate an image with an an abnormality located in the center-right.,What is the location of the abnormality?,The abnormality is located in the center-right region.
Generate an image containing ulcerative colitis.,What is the diagnosis of the patient?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the endoscopy procedure?,There are no instruments visible.
Generate an image with no polyps.,What is the condition of the endoscopic procedure?,No polyps were found.
Generate an image containing a green/black box artefact.,What is the appearance of the box-like artefact in the image?,The box-like artefact appears green/black.
Generate an image containing text.,Is there text in the image?,"Yes, there is text present in the image."
"Generate an image with an abnormality with the colors pink, red, white and yellow.",What is the dominant color of the abnormality?,"The dominant color of the abnormality is pink, red, white, and yellow."
Generate an image from a colonoscopy procedure.,What type of medical procedure is depicted in this image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in the center, upper-left, upper-right, lower-right, center-left, center-right, upper-center and lower-center."
